signal_id,date,pass,outcome,pnl,ER,run_length_mean,VR
S744,2022-07-19,False,EOD-,-0.2,0.0015,9.18,0.9522
S745,2022-07-19,False,EOD+,0.1,0.0015,9.18,0.9522
S746,2022-07-19,False,EOD+,0.1,0.0015,9.18,0.9522
S747,2022-07-20,False,L,-0.75,0.0013,9.23,0.965
S748,2022-07-20,False,L,-0.6429,0.0013,9.23,0.965
S749,2022-07-20,False,EOD+,0.05,0.0013,9.23,0.965
S750,2022-07-21,False,EOD+,0.9,0.0073,9.01,0.9862
S751,2022-07-21,False,W,0.8357,0.0073,9.01,0.9862
S752,2022-07-21,False,W,0.8036,0.0073,9.01,0.9862
S753,2022-07-21,False,W,0.7875,0.0073,9.01,0.9862
S754,2022-07-21,False,W,0.7393,0.0073,9.01,0.9862
S755,2022-07-21,False,W,0.7875,0.0073,9.01,0.9862
S756,2022-07-21,False,W,0.7554,0.0073,9.01,0.9862
S757,2022-07-21,False,W,0.6589,0.0073,9.01,0.9862
S758,2022-07-21,False,W,0.45,0.0073,9.01,0.9862
S759,2022-07-21,False,W,0.4339,0.0073,9.01,0.9862
S760,2022-07-21,True,W,0.4821,0.0073,9.01,0.9862
S761,2022-07-22,False,L,-1.0804,0.002,8.79,0.9899
S762,2022-07-22,False,L,-1.0714,0.002,8.79,0.9899
S763,2022-07-22,False,L,-0.7857,0.002,8.79,0.9899
S764,2022-07-22,False,L,-0.5982,0.002,8.79,0.9899
S765,2022-07-22,False,L,-0.3214,0.002,8.79,0.9899
S766,2022-07-22,False,L,-0.3661,0.002,8.79,0.9899
S767,2022-07-22,False,L,-0.3661,0.002,8.79,0.9899
S768,2022-07-25,False,L,-0.625,0.0084,8.4,0.9967
S769,2022-07-25,False,L,-0.8304,0.0084,8.4,0.9967
S770,2022-07-25,False,L,-0.6071,0.0084,8.4,0.9967
S771,2022-07-25,False,L,-0.5357,0.0084,8.4,0.9967
S772,2022-07-25,False,L,-0.5446,0.0084,8.4,0.9967
S773,2022-07-25,False,L,-0.5179,0.0084,8.4,0.9967
S774,2022-07-25,False,EOD-,-0.2,0.0084,8.4,0.9967
S775,2022-07-26,False,W,1.2857,0.0026,8.31,1.0227
S776,2022-07-26,False,W,1.4464,0.0026,8.31,1.0227
S777,2022-07-26,False,L,-1.1696,0.0026,8.31,1.0227
S778,2022-07-26,False,L,-1.0804,0.0026,8.31,1.0227
S779,2022-07-26,False,EOD+,0.25,0.0026,8.31,1.0227
S780,2022-07-26,False,L,-0.625,0.0026,8.31,1.0227
S781,2022-07-26,False,EOD+,0.25,0.0026,8.31,1.0227
S782,2022-07-26,False,EOD+,0.15,0.0026,8.31,1.0227
S783,2022-07-26,False,EOD+,0.15,0.0026,8.31,1.0227
S784,2022-07-26,False,EOD+,0.15,0.0026,8.31,1.0227
S785,2022-07-27,True,EOD+,0.05,0.0086,8.31,1.0029
S786,2022-07-27,True,EOD+,0.1,0.0086,8.31,1.0029
S787,2022-07-27,False,EOD+,0.15,0.0086,8.31,1.0029
S788,2022-07-27,False,EOD+,0.2,0.0086,8.31,1.0029
S789,2022-07-27,False,EOD+,0.1,0.0086,8.31,1.0029
S790,2022-07-27,False,EOD+,0.15,0.0086,8.31,1.0029
