symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
CIPLA,MA-alone,train,COMBINED baseline,5511,-647.64,0.938,-4555.63,0.645
CIPLA,MA-alone,train,COMBINED gated,2766,-153.77,0.97,-2120.31,0.667
CIPLA,MA-alone,test,SHORT baseline,874,309.14,1.136,-927.35,0.693
CIPLA,MA-alone,test,SHORT gated,238,60.25,1.1,-262.65,0.675
CIPLA,MA-alone,test,LONG baseline,913,-190.24,0.931,-1476.68,0.586
CIPLA,MA-alone,test,LONG gated,652,37.94,1.02,-894.93,0.64
CIPLA,MA-alone,test,COMBINED baseline,1787,118.9,1.024,-2404.03,0.635
CIPLA,MA-alone,test,COMBINED gated,890,98.19,1.039,-1157.58,0.649
CIPLA,Model B,train,SHORT baseline,2688,734.0,1.161,-1166.11,0.793
CIPLA,Model B,train,SHORT gated,1087,563.61,1.324,-217.31,0.9
CIPLA,Model B,train,LONG baseline,2823,-1381.64,0.763,-3389.51,0.529
CIPLA,Model B,train,LONG gated,1695,-240.9,0.925,-1429.38,0.641
CIPLA,Model B,train,COMBINED baseline,5511,-647.64,0.938,-4555.63,0.645
CIPLA,Model B,train,COMBINED gated,2782,322.71,1.065,-1646.69,0.732
CIPLA,Model B,test,SHORT baseline,874,309.14,1.136,-927.35,0.693
CIPLA,Model B,test,SHORT gated,375,-58.99,0.944,-591.84,0.578
CIPLA,Model B,test,LONG baseline,913,-190.24,0.931,-1476.68,0.586
CIPLA,Model B,test,LONG gated,509,-27.04,0.982,-741.91,0.62
CIPLA,Model B,test,COMBINED baseline,1787,118.9,1.024,-2404.03,0.635
CIPLA,Model B,test,COMBINED gated,884,-86.03,0.966,-1333.76,0.602
COALINDIA,Model A,train,SHORT baseline,2780,249.19,1.167,-395.1,0.79
COALINDIA,Model A,train,SHORT gated,2529,232.76,1.175,-356.16,0.789
COALINDIA,Model A,train,LONG baseline,2855,-135.27,0.921,-797.94,0.628
COALINDIA,Model A,train,LONG gated,257,-36.68,0.808,-94.57,0.59
COALINDIA,Model A,train,COMBINED baseline,5635,113.92,1.035,-1193.04,0.704
COALINDIA,Model A,train,COMBINED gated,2786,196.08,1.129,-450.73,0.765
COALINDIA,Model A,test,SHORT baseline,938,157.99,1.209,-197.13,0.795
COALINDIA,Model A,test,SHORT gated,885,160.34,1.231,-173.82,0.804
COALINDIA,Model A,test,LONG baseline,952,-96.01,0.894,-453.97,0.6
COALINDIA,Model A,test,LONG gated,62,-17.21,0.794,-42.21,0.578
COALINDIA,Model A,test,COMBINED baseline,1890,61.98,1.037,-651.1,0.69
COALINDIA,Model A,test,COMBINED gated,947,143.13,1.184,-216.02,0.781
COALINDIA,MA-alone,train,SHORT baseline,2743,248.43,1.171,-380.83,0.792
COALINDIA,MA-alone,train,SHORT gated,2409,220.71,1.175,-341.1,0.787
COALINDIA,MA-alone,train,LONG baseline,2811,-127.93,0.923,-773.17,0.629
COALINDIA,MA-alone,train,LONG gated,363,13.99,1.062,-60.13,0.779
COALINDIA,MA-alone,train,COMBINED baseline,5554,120.5,1.039,-1154.0,0.706
COALINDIA,MA-alone,train,COMBINED gated,2772,234.7,1.158,-401.23,0.786
COALINDIA,MA-alone,test,SHORT baseline,925,160.86,1.214,-191.38,0.8
COALINDIA,MA-alone,test,SHORT gated,869,128.11,1.182,-201.26,0.775
COALINDIA,MA-alone,test,LONG baseline,940,-98.0,0.891,-453.3,0.599
COALINDIA,MA-alone,test,LONG gated,52,-21.52,0.637,-42.92,0.417
COALINDIA,MA-alone,test,COMBINED baseline,1865,62.86,1.038,-644.68,0.691
COALINDIA,MA-alone,test,COMBINED gated,921,106.59,1.14,-244.18,0.748
COALINDIA,Model B,train,SHORT baseline,2743,248.43,1.171,-380.83,0.792
COALINDIA,Model B,train,SHORT gated,2235,215.68,1.183,-306.33,0.795
COALINDIA,Model B,train,LONG baseline,2811,-127.93,0.923,-773.17,0.629
COALINDIA,Model B,train,LONG gated,545,-8.55,0.975,-126.02,0.696
COALINDIA,Model B,train,COMBINED baseline,5554,120.5,1.039,-1154.0,0.706
COALINDIA,Model B,train,COMBINED gated,2780,207.12,1.136,-432.35,0.774
