symbol,model,split,bucket,n,pnl,pf,zpnl,zpf
CIPLA,Model B,train,COMBINED gated (flipped),2729,-970.35,0.821,-2908.94,0.565
CIPLA,Model B,test,SHORT baseline,874,309.14,1.136,-927.35,0.693
CIPLA,Model B,test,SHORT gated (flipped),499,368.13,1.305,-335.51,0.793
CIPLA,Model B,test,LONG baseline,913,-190.24,0.931,-1476.68,0.586
CIPLA,Model B,test,LONG gated (flipped),404,-163.2,0.869,-734.76,0.544
CIPLA,Model B,test,COMBINED baseline,1787,118.9,1.024,-2404.03,0.635
CIPLA,Model B,test,COMBINED gated (flipped),903,204.92,1.083,-1070.27,0.669
COALINDIA,Model A,train,SHORT baseline,2780,249.19,1.167,-395.1,0.79
COALINDIA,Model A,train,SHORT gated (flipped),251,16.43,1.103,-38.94,0.798
COALINDIA,Model A,train,LONG baseline,2855,-135.27,0.921,-797.94,0.628
COALINDIA,Model A,train,LONG gated (flipped),2598,-98.59,0.935,-703.38,0.633
COALINDIA,Model A,train,COMBINED baseline,5635,113.92,1.035,-1193.04,0.704
COALINDIA,Model A,train,COMBINED gated (flipped),2849,-82.16,0.951,-742.32,0.648
COALINDIA,Model A,test,SHORT baseline,938,157.99,1.209,-197.13,0.795
COALINDIA,Model A,test,SHORT gated (flipped),53,-2.36,0.963,-23.31,0.694
COALINDIA,Model A,test,LONG baseline,952,-96.01,0.894,-453.97,0.6
COALINDIA,Model A,test,LONG gated (flipped),890,-78.79,0.904,-411.76,0.602
COALINDIA,Model A,test,COMBINED baseline,1890,61.98,1.037,-651.1,0.69
COALINDIA,Model A,test,COMBINED gated (flipped),943,-81.15,0.908,-435.08,0.608
COALINDIA,MA-alone,train,SHORT baseline,2743,248.43,1.171,-380.83,0.792
COALINDIA,MA-alone,train,SHORT gated (flipped),334,27.72,1.145,-39.74,0.828
COALINDIA,MA-alone,train,LONG baseline,2811,-127.93,0.923,-773.17,0.629
COALINDIA,MA-alone,train,LONG gated (flipped),2448,-141.92,0.902,-713.04,0.607
COALINDIA,MA-alone,train,COMBINED baseline,5554,120.5,1.039,-1154.0,0.706
COALINDIA,MA-alone,train,COMBINED gated (flipped),2782,-114.2,0.93,-752.78,0.632
COALINDIA,MA-alone,test,SHORT baseline,925,160.86,1.214,-191.38,0.8
COALINDIA,MA-alone,test,SHORT gated (flipped),56,32.75,1.66,9.88,1.162
COALINDIA,MA-alone,test,LONG baseline,940,-98.0,0.891,-453.3,0.599
COALINDIA,MA-alone,test,LONG gated (flipped),888,-76.48,0.909,-410.38,0.611
COALINDIA,MA-alone,test,COMBINED baseline,1865,62.86,1.038,-644.68,0.691
COALINDIA,MA-alone,test,COMBINED gated (flipped),944,-43.73,0.951,-400.5,0.641
COALINDIA,Model B,train,SHORT baseline,2743,248.43,1.171,-380.83,0.792
COALINDIA,Model B,train,SHORT gated (flipped),508,32.76,1.119,-74.51,0.781
COALINDIA,Model B,train,LONG baseline,2811,-127.93,0.923,-773.17,0.629
COALINDIA,Model B,train,LONG gated (flipped),2266,-119.38,0.91,-647.15,0.613
COALINDIA,Model B,train,COMBINED baseline,5554,120.5,1.039,-1154.0,0.706
COALINDIA,Model B,train,COMBINED gated (flipped),2774,-86.62,0.946,-721.65,0.641
COALINDIA,Model B,test,SHORT baseline,925,160.86,1.214,-191.38,0.8
COALINDIA,Model B,test,SHORT gated (flipped),74,30.05,1.447,0.13,1.002
COALINDIA,Model B,test,LONG baseline,940,-98.0,0.891,-453.3,0.599
COALINDIA,Model B,test,LONG gated (flipped),855,-70.18,0.911,-390.76,0.61
COALINDIA,Model B,test,COMBINED baseline,1865,62.86,1.038,-644.68,0.691
COALINDIA,Model B,test,COMBINED gated (flipped),929,-40.13,0.953,-390.63,0.64
DABUR,Model A,train,SHORT baseline,2776,679.06,1.263,-513.72,0.843
DABUR,Model A,train,SHORT gated (flipped),1926,428.99,1.239,-398.49,0.825
DABUR,Model A,train,LONG baseline,2852,-651.22,0.802,-1877.02,0.544
DABUR,Model A,train,LONG gated (flipped),934,-411.2,0.656,-815.8,0.45
DABUR,Model A,train,COMBINED baseline,5628,27.85,1.005,-2390.74,0.677
DABUR,Model A,train,COMBINED gated (flipped),2860,17.79,1.006,-1214.29,0.677
DABUR,Model A,test,SHORT baseline,928,-65.73,0.936,-582.75,0.57
DABUR,Model A,test,SHORT gated (flipped),675,-111.32,0.849,-486.25,0.505
DABUR,Model A,test,LONG baseline,918,13.48,1.013,-498.54,0.625
DABUR,Model A,test,LONG gated (flipped),261,-44.07,0.863,-190.47,0.541
DABUR,Model A,test,COMBINED baseline,1846,-52.24,0.974,-1081.28,0.597
DABUR,Model A,test,COMBINED gated (flipped),936,-155.38,0.853,-676.72,0.516
DABUR,MA-alone,train,SHORT baseline,2743,660.55,1.258,-527.87,0.837
DABUR,MA-alone,train,SHORT gated (flipped),1855,365.68,1.215,-427.69,0.803
DABUR,MA-alone,train,LONG baseline,2809,-637.9,0.804,-1854.96,0.545
DABUR,MA-alone,train,LONG gated (flipped),898,-369.14,0.672,-769.63,0.452
DABUR,MA-alone,train,COMBINED baseline,5552,22.65,1.004,-2382.83,0.675
DABUR,MA-alone,train,COMBINED gated (flipped),2753,-3.46,0.999,-1197.32,0.665
DABUR,MA-alone,test,SHORT baseline,910,-65.6,0.935,-572.82,0.571
DABUR,MA-alone,test,SHORT gated (flipped),725,-76.71,0.901,-474.34,0.541
DABUR,MA-alone,test,LONG baseline,906,18.23,1.018,-487.24,0.629
DABUR,MA-alone,test,LONG gated (flipped),196,-18.63,0.926,-134.34,0.586
