date,ADANIPORTS,ASHOKLEY,AXISBANK,BANDHANBNK,BHARTIARTL,CIPLA,COALINDIA,DABUR,DIVISLAB,HDFCBANK,HINDALCO,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,NATIONALUM,NTPC,ONGC,PNB,POWERGRID,RELIANCE,SBIN,SUNPHARMA,TATAMOTORS,TATASTEEL,TECHM,VEDL,WIPRO
2025-02-28,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down
2025-03-03,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down
2025-03-04,down,down,down,down,down,down,down,down,down,up,up,down,down,down,down,up,down,down,down,down,down,down,down,down,down,up,down,down,down
2025-03-05,down,down,down,down,down,down,down,down,down,down,up,down,down,down,down,up,down,up,down,down,down,down,down,down,down,up,down,down,down
2025-03-06,up,down,up,up,down,up,up,down,down,down,up,down,down,down,down,up,down,up,down,down,down,down,down,down,down,up,down,up,down
2025-03-07,up,down,up,up,up,down,up,down,down,down,up,down,down,down,down,up,down,up,down,down,down,up,down,down,down,up,down,up,down
2025-03-10,up,down,up,up,down,up,up,down,down,down,up,down,down,down,down,up,down,up,down,down,down,down,down,down,down,up,down,up,down
2025-03-11,up,down,up,down,up,down,up,down,down,down,up,up,down,down,down,up,down,up,down,down,down,up,down,down,down,up,down,up,down
2025-03-12,up,down,down,down,up,down,up,down,down,up,up,up,down,down,down,up,down,up,down,down,down,up,down,down,down,up,down,up,down
2025-03-13,up,down,down,down,down,up,up,down,down,up,up,up,down,down,down,up,down,up,down,down,down,up,down,down,down,up,down,up,down
2025-03-17,up,down,up,down,up,up,up,down,down,up,up,up,down,down,down,up,down,up,down,down,down,down,down,down,down,up,down,up,down
2025-03-18,up,down,up,down,down,up,up,down,down,up,up,up,down,down,down,up,down,up,down,down,down,down,down,up,down,up,down,up,down
2025-03-19,up,down,up,down,up,up,up,down,up,up,up,up,down,down,down,up,down,up,down,down,down,up,up,up,down,up,down,up,down
2025-03-20,up,down,up,down,up,up,up,down,up,up,up,up,down,down,down,up,down,up,down,down,up,up,up,up,down,up,down,up,down
2025-03-21,up,up,up,up,up,up,up,down,up,up,up,up,down,down,down,up,down,up,down,down,up,up,up,up,up,up,down,up,down
2025-03-24,up,up,up,up,up,up,up,down,up,up,up,up,down,down,down,up,down,up,up,up,up,up,up,up,up,up,down,up,down
2025-03-25,up,down,up,up,up,up,up,down,up,up,up,up,down,down,down,up,down,up,down,down,up,up,up,up,up,up,down,up,down
2025-03-26,up,up,up,up,up,up,up,down,up,up,up,up,down,down,down,up,down,up,down,down,up,up,up,up,up,up,down,up,down
2025-03-27,up,down,up,up,up,up,up,down,up,up,up,up,down,down,down,up,down,up,down,up,up,up,up,up,down,up,down,up,down
2025-03-28,up,down,up,up,up,down,up,down,down,up,up,up,down,down,down,up,down,up,up,up,up,up,up,up,down,up,down,up,down
2025-04-01,up,down,up,up,up,down,up,down,down,up,up,up,down,down,down,up,down,up,up,up,up,up,up,down,down,up,down,up,down
2025-04-02,up,down,up,up,up,down,up,down,down,up,up,up,down,down,down,up,down,up,up,up,up,up,up,up,down,up,down,up,down
2025-04-03,up,down,up,up,up,up,up,down,down,up,up,up,down,down,down,up,down,up,up,up,up,up,up,up,down,up,down,up,down
2025-04-04,up,down,up,up,up,down,up,down,down,up,down,up,down,down,down,up,down,up,down,up,up,down,up,up,down,down,down,down,down
2025-04-07,down,down,up,down,up,down,down,down,down,up,down,up,down,down,down,down,down,up,down,up,up,down,up,down,down,down,down,down,down
2025-04-08,up,down,up,up,up,down,up,down,down,up,down,up,down,down,down,down,down,up,down,up,up,down,up,down,down,down,down,down,down
2025-04-09,up,down,up,up,up,down,down,down,down,up,down,up,down,down,up,down,down,up,down,up,up,down,down,down,down,down,down,down,down
2025-04-11,up,down,up,up,up,up,up,down,down,up,down,up,down,down,up,down,down,up,down,up,up,down,up,down,down,down,down,down,down
2025-04-15,up,up,up,up,up,up,up,down,down,up,down,up,down,down,up,up,down,up,down,up,up,up,up,up,down,down,down,down,down
2025-04-16,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,down,down,down,down,down,down
2025-04-17,up,up,up,up,up,up,up,down,down,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,down,down,down,down,down
2025-04-21,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,down,down,down,down,down
2025-04-22,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,down,down,down,down,down
2025-04-23,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,up,down,down,down,down
2025-04-24,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,up,down,down,down,down
2025-04-25,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,down,down,down,down,down
2025-04-28,up,up,up,up,up,up,up,down,up,up,down,up,down,down,up,up,down,up,up,up,up,up,up,up,up,down,down,down,down
2025-04-29,up,up,up,up,up,up,up,down,up,up,down,up,up,down,up,up,down,up,up,up,up,up,up,up,up,down,up,down,down
2025-04-30,up,up,up,up,up,up,up,down,up,up,down,up,up,down,up,up,down,up,up,up,up,up,up,up,down,down,up,down,down
2025-05-02,up,up,up,up,up,up,up,down,up,up,down,up,up,down,up,down,down,up,up,up,up,up,up,up,down,down,up,down,down
2025-05-05,up,up,up,up,up,up,up,down,up,up,down,up,up,down,up,down,down,up,up,up,up,up,up,up,up,down,up,down,down
2025-05-06,up,up,up,up,up,up,down,down,up,up,down,up,up,down,up,down,down,down,up,down,up,up,up,up,down,up,up,down,down
2025-05-07,up,up,up,up,up,up,down,down,up,up,down,up,up,down,up,down,down,down,up,down,up,up,up,up,up,up,up,down,down
2025-05-08,up,up,up,up,up,up,up,down,up,up,down,up,up,down,up,down,down,down,down,down,up,up,up,up,up,down,up,down,down
2025-05-09,up,up,up,up,up,down,down,down,up,up,down,up,up,down,up,down,down,down,down,down,up,up,up,up,up,down,up,down,down
2025-05-12,up,up,up,up,up,up,up,down,up,up,up,up,down,up,up,down,down,up,up,up,up,up,up,down,up,up,up,up,down
2025-05-13,up,up,up,up,up,up,up,down,up,up,down,up,down,up,up,down,down,down,up,up,up,up,up,down,up,up,up,up,down
2025-05-14,up,up,up,up,up,up,up,down,up,up,up,up,down,up,up,down,up,down,up,up,up,up,up,down,up,up,up,up,down
2025-05-15,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,down
2025-05-16,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,down,up,up,up,up,up,up,up,up,up,up,down
